1532 2856
0 464.486 315.316
1 1460.04 1098.75
2 494.661 1469.15
3 1381.48 278.963
4 298.113 1157.01
5 100.787 1834.52
6 1500.02 991.196
7 1559.22 1623.25
8 1713.09 1642.62
9 449.056 844.695
10 1160.24 1059.44
11 806.257 663.596
12 1783.25 930.762
13 1296.34 1780.45
14 1038.85 1921.37
15 741.869 1904.23
16 1242.77 1873.53
17 1117.05 1475.05
18 147.024 357.921
19 1622.4 428.786
20 513.742 1195.75
21 940.679 624.093
22 1519.24 905.459
23 38.4603 1560.81
24 1022.97 1075.26
25 158.124 665.736
26 884.584 1681.13
27 1376.92 174.39
28 117.961 1929.67
29 271.768 1197.87
30 823.437 953.612
31 1698.12 1215.47
32 1630.02 319.497
33 1409.67 1300.28
34 372.087 1193.3
35 617.404 1608.03
36 899.153 1672.29
37 1320.88 1857.7
38 1946.98 35.69
39 862.132 740.227
40 1628.52 1878.09
41 1537.74 1783.48
42 1525.94 1256.21
43 1642.82 1480.19
44 1628.16 623.167
45 439.607 639.836
46 528.535 1131.72
47 1449.75 873.555
48 303.999 82.443
49 930.975 295.213
50 1788.44 80.9041
51 958.614 641.721
52 558.943 423.59
53 1821.83 706.86
54 469.868 192.138
55 1426.02 1004.72
56 783.464 466.317
57 1762 1573.48
58 78.8265 481.686
59 1889.99 1476.85
60 590.827 909.436
61 1642.42 1285.48
62 1284.57 1032.31
63 310.602 681.773
64 89.3295 530.17
65 1599.18 1699.92
66 729.794 802.582
67 1293.22 1310.29
68 793.111 1757.37
69 1326.74 1363.12
70 198.784 1565.92
71 1590.86 824.782
72 1261.31 1192.19
73 445.916 824.36
74 277.552 1064.83
75 1923.95 782.858
76 1429.19 1931.25
77 1783.28 777.84
78 770.197 1809.6
79 18.2167 342.261
80 454.087 829.615
81 1776.07 1035.89
82 1770.23 422.214
83 455.227 1839.74
84 281.23 1129.83
85 1200.96 925.116
86 649.075 1610.87
87 1255.8 1852.18
88 717.802 1670.92
89 1844.57 1633.54
90 1133.09 1798.49
91 1464.75 199.981
92 1013.89 327.279
93 1432.88 5.30698
94 1887.34 1776.26
95 847.884 1399.57
96 1873.48 246.794
97 684.01 1940.97
98 709.803 1818.95
99 945.656 797.098
100 245.304 739.702
101 532.252 1697.58
102 1052.41 1385.41
103 167.341 1399.49
104 1477.86 1195.74
105 1846.19 1356.99
106 321.447 209.537
107 919.292 1480.78
108 286.526 872.965
109 1371.61 1884.99
110 36.0388 1550.44
111 400.7 756.995
112 1370.9 725.992
113 690.496 437.556
114 1025.15 862.191
115 1089.41 258.126
116 207.533 1545.28
117 572.819 1726.08
118 1837.21 1326.43
119 1673.69 473.466
120 1931.03 687.712
121 773.953 1585.65
122 824.606 1698.26
123 65.7454 609.838
124 1298.02 156.805
125 611.25 32.202
126 768.832 1636.45
127 165.048 1133.87
128 1409.76 1893.4
129 1475.21 665.313
130 492.156 1010.18
131 764.37 127.414
132 1668.46 1344.75
133 1066.55 1017.2
134 1214.02 1060.66
135 735.961 312.742
136 779.07 1895.21
137 139.46 1690.82
138 183.552 1012.59
139 607.956 1128.86
140 1836.05 1537.21
141 542.575 1508.91
142 670.94 1129.68
143 886.534 108.627
144 324.005 153.582
145 378.291 626.076
146 725.897 80.7191
147 1179.06 953.404
148 301.896 1339.27
149 1897.03 1287.49
150 671.764 926.751
151 1864.37 163.886
152 729.286 1480
153 4.96823 634.709
154 1024.64 1688.36
155 1941.59 1824.18
156 1176.22 1733.9
157 889.181 1128.18
158 1830.32 79.1502
159 1930.08 1599.26
160 1862.67 1104.51
161 1475.73 1094.92
162 528.708 245.492
163 467.333 1880.85
164 1080.75 1470.36
165 1497.42 1415.59
166 409.195 1175.51
167 757.107 752.675
168 757.461 1827.63
169 475.621 1518.91
170 1879.54 661.673
171 460.502 1380.57
172 1881.8 1324.77
173 17.0186 1383.52
174 966.85 89.5599
175 448.941 1311.04
176 816.396 356.45
177 1498.79 1508.25
178 988.507 60.8436
179 182.958 1422.53
180 1826.82 53.7617
181 25.8457 966.491
182 1377.3 122.039
183 1198.22 499.199
184 81.2367 195.438
185 366.074 910.314
186 146.412 1657.9
187 1611.54 1845.65
188 1426.91 1098.17
189 1332.87 5.75178
190 527.055 636.59
191 715.259 790.954
192 986.587 669.511
193 1069.76 1031.55
194 750.221 328.817
195 1927.38 1720.73
196 1431.11 744.947
197 1077.11 357.809
198 71.8246 506.361
199 1237.58 1913.25
200 32.9071 881.985
201 547.548 1250.75
202 816.211 1691.46
203 155.293 475.091
204 319.591 1238.55
205 54.6173 293.436
206 21.0922 268.741
207 108.798 73.4145
208 1335.47 477.047
209 699.797 415.939
210 1863.06 1480.37
211 201.923 1587.57
212 1207.87 490.211
213 490.433 1159.34
214 1867.32 371.637
215 1831.15 1158.77
216 182.977 1355.24
217 786.132 855.073
218 794.98 789.741
219 860.941 1848.37
220 1146.92 1498.2
221 101.669 304.59
222 157.54 258.001
223 138.301 1841.54
