15 20
0 2974.48 4512.64
1 3445.52 4212.38
2 2458.45 982.8
3 2618.46 741.351
4 1966.13 2785.79
5 294.63 3454.38
6 978.033 3917.15
7 2574.75 2764.77
8 2071.13 3977.7
9 2045.95 3080.62
10 890.036 367.996
11 3431.48 3230.36
12 3950.51 2205.86
13 4950.21 1472.54
14 4648.21 4762.95
0 1 562.416
0 8 1223.01
0 14 2700.78
1 11 1073.83
1 14 1367.53
2 3 553.159
2 10 3285.7
2 7 1785.76
3 10 1895.35
4 7 692.682
4 9 350.48
5 6 894.336
5 9 2492
6 8 1741.41
7 9 1053.11
7 11 1828.85
8 9 942.836
11 12 1265.39
11 13 2894.41
12 13 1492.75
